Country/Region,Mes,Año,Confirmed,Deaths,Recovered
Mexico,mayo,2020,1212,83,867
Mexico,mayo,2020,782,122,450
Mexico,mayo,2020,2769,365,1857
Mexico,mayo,2020,1487,116,963
Mexico,mayo,2020,236,27,159
Mexico,mayo,2020,649,26,464
Mexico,mayo,2020,4250,705,2992
Mexico,mayo,2020,541,32,430
Mexico,mayo,2020,443,57,284
Mexico,mayo,2020,1224,72,659
Mexico,mayo,2020,1193,255,843
Mexico,mayo,2020,20235,2024,14557
Mexico,mayo,2020,876,68,656
Mexico,mayo,2020,115,18,52
Mexico,mayo,2020,246,26,150
Mexico,mayo,2020,1127,91,666
Mexico,mayo,2020,1301,174,795
Mexico,mayo,2020,1319,215,698
Mexico,mayo,2020,1238,116,742
Mexico,mayo,2020,11523,872,9229
Mexico,mayo,2020,1402,119,935
Mexico,mayo,2020,1232,239,779
Mexico,mayo,2020,439,42,275
Mexico,mayo,2020,1168,67,800
Mexico,mayo,2020,1070,106,562
Mexico,mayo,2020,2165,260,1373
Mexico,mayo,2020,710,78,371
Mexico,mayo,2020,1641,294,1113
Mexico,mayo,2020,692,40,438
Mexico,mayo,2020,2794,406,1831
Mexico,mayo,2020,1451,72,1019
Mexico,mayo,2020,3236,416,2214
Mexico,mayo,2020,1289,86,905
Mexico,mayo,2020,827,134,478
Mexico,mayo,2020,2944,372,1972
Mexico,mayo,2020,1522,123,1009
Mexico,mayo,2020,243,28,161
Mexico,mayo,2020,676,30,473
Mexico,mayo,2020,4421,740,3077
Mexico,mayo,2020,549,32,440
Mexico,mayo,2020,452,66,298
Mexico,mayo,2020,1289,84,708
Mexico,mayo,2020,1278,272,896
Mexico,mayo,2020,20999,2166,15160
Mexico,mayo,2020,917,67,687
Mexico,mayo,2020,118,19,61
Mexico,mayo,2020,249,27,157
Mexico,mayo,2020,1184,96,710
Mexico,mayo,2020,1363,189,850
Mexico,mayo,2020,1439,240,716
Mexico,mayo,2020,1295,125,770
Mexico,mayo,2020,12366,943,9674
Mexico,mayo,2020,1495,132,987
Mexico,mayo,2020,1220,248,754
Mexico,mayo,2020,457,45,288
Mexico,mayo,2020,1222,71,843
Mexico,mayo,2020,1109,114,630
Mexico,mayo,2020,2320,268,1478
Mexico,mayo,2020,742,84,402
Mexico,mayo,2020,1683,304,1131
Mexico,mayo,2020,734,41,455
Mexico,mayo,2020,2813,427,1895
Mexico,mayo,2020,1576,84,1087
Mexico,mayo,2020,3360,424,2308
Mexico,mayo,2020,1300,89,937
Mexico,mayo,2020,858,134,506
Mexico,mayo,2020,3258,416,2113
Mexico,mayo,2020,1567,128,1047
Mexico,mayo,2020,251,29,170
Mexico,mayo,2020,716,32,494
Mexico,mayo,2020,4590,773,3185
Mexico,mayo,2020,557,32,453
Mexico,mayo,2020,486,70,308
Mexico,mayo,2020,1402,101,766
Mexico,mayo,2020,1356,286,946
Mexico,mayo,2020,21826,2313,15693
Mexico,mayo,2020,965,72,696
Mexico,mayo,2020,128,21,65
Mexico,mayo,2020,279,32,162
Mexico,mayo,2020,1238,101,734
Mexico,mayo,2020,1421,210,902
Mexico,mayo,2020,1479,247,773
Mexico,mayo,2020,1355,128,819
Mexico,mayo,2020,13140,1002,10032
Mexico,mayo,2020,1613,143,1051
Mexico,mayo,2020,1264,250,776
Mexico,mayo,2020,476,46,299
Mexico,mayo,2020,1288,76,899
Mexico,mayo,2020,1144,121,680
Mexico,mayo,2020,2458,307,1542
Mexico,mayo,2020,786,89,429
Mexico,mayo,2020,1729,323,1152
Mexico,mayo,2020,786,46,474
Mexico,mayo,2020,2903,431,1967
Mexico,mayo,2020,1613,88,1156
Mexico,mayo,2020,3484,436,2394
Mexico,mayo,2020,1360,95,968
Mexico,mayo,2020,944,135,534
Mexico,mayo,2020,3374,430,2230
Mexico,mayo,2020,1602,132,1081
Mexico,mayo,2020,261,29,174
Mexico,mayo,2020,769,33,523
Mexico,mayo,2020,4777,808,3249
Mexico,mayo,2020,568,33,465
Mexico,mayo,2020,522,76,321
Mexico,mayo,2020,1471,114,812
Mexico,mayo,2020,1400,293,974
Mexico,mayo,2020,22698,2427,16299
Mexico,mayo,2020,980,73,711
Mexico,mayo,2020,135,21,68
Mexico,mayo,2020,304,33,169
Mexico,mayo,2020,1320,101,764
Mexico,mayo,2020,1584,232,974
Mexico,mayo,2020,1544,264,826
Mexico,mayo,2020,1432,133,859
Mexico,mayo,2020,13679,1046,10431
Mexico,mayo,2020,1710,150,1135
Mexico,mayo,2020,1302,259,782
Mexico,mayo,2020,503,49,310
Mexico,mayo,2020,1324,80,934
Mexico,mayo,2020,1186,130,719
Mexico,mayo,2020,2662,335,1637
Mexico,mayo,2020,812,95,453
Mexico,mayo,2020,1776,337,1164
Mexico,mayo,2020,815,49,506
Mexico,mayo,2020,3014,448,2045
Mexico,mayo,2020,1650,91,1216
Mexico,mayo,2020,3672,470,2491
Mexico,mayo,2020,1441,97,1020
Mexico,mayo,2020,947,137,569
Mexico,mayo,2020,3470,460,2314
Mexico,mayo,2020,1661,139,1119
Mexico,mayo,2020,272,31,182
Mexico,mayo,2020,797,33,545
Mexico,mayo,2020,4886,821,3391
Mexico,mayo,2020,594,34,474
Mexico,mayo,2020,535,81,331
Mexico,mayo,2020,1566,125,878
Mexico,mayo,2020,1505,305,1035
Mexico,mayo,2020,23623,2536,17060
Mexico,mayo,2020,1015,75,740
Mexico,mayo,2020,136,21,72
Mexico,mayo,2020,322,34,179
Mexico,mayo,2020,1384,105,823
Mexico,mayo,2020,1643,242,1085
Mexico,mayo,2020,1599,287,870
Mexico,mayo,2020,1524,136,900
Mexico,mayo,2020,14063,1087,10905
Mexico,mayo,2020,1810,153,1226
Mexico,mayo,2020,1333,262,815
Mexico,mayo,2020,524,51,327
Mexico,mayo,2020,1361,85,975
Mexico,mayo,2020,1251,141,778
Mexico,mayo,2020,2843,346,1746
Mexico,mayo,2020,833,100,494
Mexico,mayo,2020,1815,341,1193
Mexico,mayo,2020,850,49,538
Mexico,mayo,2020,3125,460,2193
Mexico,mayo,2020,1803,102,1317
Mexico,mayo,2020,3872,485,2639
Mexico,mayo,2020,1504,102,1081
Mexico,mayo,2020,974,147,593
Mexico,mayo,2020,3562,495,2438
Mexico,mayo,2020,1696,142,1177
Mexico,mayo,2020,279,32,185
Mexico,mayo,2020,816,35,557
Mexico,mayo,2020,5027,864,3463
Mexico,mayo,2020,606,35,482
Mexico,mayo,2020,563,83,352
Mexico,mayo,2020,1711,131,955
Mexico,mayo,2020,1569,314,1095
Mexico,mayo,2020,24265,2621,17626
Mexico,mayo,2020,1084,77,768
Mexico,mayo,2020,141,21,80
Mexico,mayo,2020,365,37,189
Mexico,mayo,2020,1463,107,871
Mexico,mayo,2020,1827,261,1197
Mexico,mayo,2020,1670,299,900
Mexico,mayo,2020,1660,139,932
Mexico,mayo,2020,14334,1148,11213
Mexico,mayo,2020,1869,163,1278
Mexico,mayo,2020,1391,262,847
Mexico,mayo,2020,552,52,349
Mexico,mayo,2020,1372,87,997
Mexico,mayo,2020,1333,148,837
Mexico,mayo,2020,2918,349,1827
Mexico,mayo,2020,875,104,546
Mexico,mayo,2020,1850,347,1218
Mexico,mayo,2020,882,50,557
Mexico,mayo,2020,3261,488,2283
Mexico,mayo,2020,1865,109,1409
Mexico,mayo,2020,4009,508,2731
Mexico,mayo,2020,1554,107,1116
Mexico,mayo,2020,1001,148,623
Mexico,mayo,2020,3624,506,2535
Mexico,mayo,2020,1771,146,1226
Mexico,mayo,2020,284,33,188
Mexico,mayo,2020,816,35,574
Mexico,mayo,2020,5075,865,3568
Mexico,mayo,2020,631,35,497
Mexico,mayo,2020,583,90,366
Mexico,mayo,2020,1869,135,1010
Mexico,mayo,2020,1616,318,1139
Mexico,mayo,2020,25018,2658,18286
Mexico,mayo,2020,1084,81,797
Mexico,mayo,2020,151,21,86
Mexico,mayo,2020,384,37,196
Mexico,mayo,2020,1633,107,932
Mexico,mayo,2020,1893,266,1285
Mexico,mayo,2020,1710,304,949
